,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
17,2002-06-30,319314321.20037186,328615391.4768232,350812503.5112333,319314321.20037186,319314321.20037186,20022210.148588236,20022210.148588236,20022210.148588236,20022210.148588236,20022210.148588236,20022210.148588236,0.0,0.0,0.0,339336531.3489601
18,2002-07-31,319756346.5905467,369773233.6047072,392812993.9267653,319756346.5905467,319756346.5905467,61929737.50251619,61929737.50251619,61929737.50251619,61929737.50251619,61929737.50251619,61929737.50251619,0.0,0.0,0.0,381686084.09306294
19,2002-08-31,320198371.97983456,368421888.15100545,390915447.23633385,320198371.97983456,320198371.97983456,59825355.35570852,59825355.35570852,59825355.35570852,59825355.35570852,59825355.35570852,59825355.35570852,0.0,0.0,0.0,380023727.3355431
20,2002-09-30,320626138.48559695,313131163.78182364,335619056.4918055,320626138.48559695,320626138.48559695,3656715.5683427854,3656715.5683427854,3656715.5683427854,3656715.5683427854,3656715.5683427854,3656715.5683427854,0.0,0.0,0.0,324282854.05393976
21,2002-10-31,321068163.87488484,286617191.92494,309033652.92010397,321068163.87488484,321068163.87488484,-23891172.75449055,-23891172.75449055,-23891172.75449055,-23891172.75449055,-23891172.75449055,-23891172.75449055,0.0,0.0,0.0,297176991.1203943
22,2002-11-30,321495930.38064724,278370566.0961551,302179233.0564611,321495930.38064724,321495930.38064724,-31185030.57250733,-31185030.57250733,-31185030.57250733,-31185030.57250733,-31185030.57250733,-31185030.57250733,0.0,0.0,0.0,290310899.8081399
23,2002-12-31,321937955.76993513,312801310.50493175,334696829.0572045,321937955.76993513,321937955.76993513,1226662.3469104709,1226662.3469104709,1226662.3469104709,1226662.3469104709,1226662.3469104709,1226662.3469104709,0.0,0.0,0.0,323164618.1168456
24,2003-01-31,322379981.15922296,324906355.9718744,348641180.2597935,322379981.15922296,322379981.15922296,14429293.31661432,14429293.31661432,14429293.31661432,14429293.31661432,14429293.31661432,14429293.31661432,0.0,0.0,0.0,336809274.4758373
25,2003-02-28,322779229.89793456,285049413.5521299,307424131.99318165,322779229.89793456,322779229.89793456,-26506028.108609058,-26506028.108609058,-26506028.108609058,-26506028.108609058,-26506028.108609058,-26506028.108609058,0.0,0.0,0.0,296273201.7893255
26,2003-03-31,323221255.2872224,293935817.39882714,317035143.31198055,323221255.2872224,323221255.2872224,-17959398.229401696,-17959398.229401696,-17959398.229401696,-17959398.229401696,-17959398.229401696,-17959398.229401696,0.0,0.0,0.0,305261857.0578207
27,2003-04-30,323649021.7929848,269257079.3994078,293283535.5285636,323649021.7929848,323649021.7929848,-42689779.563475914,-42689779.563475914,-42689779.563475914,-42689779.563475914,-42689779.563475914,-42689779.563475914,0.0,0.0,0.0,280959242.2295089
28,2003-05-31,324091047.1111564,297173307.8638573,320834401.51408994,324091047.1111564,324091047.1111564,-15476227.556947315,-15476227.556947315,-15476227.556947315,-15476227.556947315,-15476227.556947315,-15476227.556947315,0.0,0.0,0.0,308614819.5542091
29,2003-06-30,324518813.5480968,330308619.00353384,353354350.6821441,324518813.5480968,324518813.5480968,17184057.318097103,17184057.318097103,17184057.318097103,17184057.318097103,17184057.318097103,17184057.318097103,0.0,0.0,0.0,341702870.8661939
30,2003-07-31,324960838.8662684,374381335.121009,396636795.26041883,324960838.8662684,324960838.8662684,61032692.87802747,61032692.87802747,61032692.87802747,61032692.87802747,61032692.87802747,61032692.87802747,0.0,0.0,0.0,385993531.74429584
31,2003-08-31,325402864.18444,375458009.64772207,397934460.19621396,325402864.18444,325402864.18444,61769158.22341321,61769158.22341321,61769158.22341321,61769158.22341321,61769158.22341321,61769158.22341321,0.0,0.0,0.0,387172022.40785325
32,2003-09-30,325830630.6213804,319597876.7004292,343205960.8162112,325830630.6213804,325830630.6213804,5160847.399224982,5160847.399224982,5160847.399224982,5160847.399224982,5160847.399224982,5160847.399224982,0.0,0.0,0.0,330991478.0206054
33,2003-10-31,326272655.939552,290292232.45436746,314198040.89863086,326272655.939552,326272655.939552,-24183353.43864018,-24183353.43864018,-24183353.43864018,-24183353.43864018,-24183353.43864018,-24183353.43864018,0.0,0.0,0.0,302089302.50091183
34,2003-11-30,326700422.3764923,284843762.3415796,307349337.78344977,326700422.3764923,326700422.3764923,-30263270.599432062,-30263270.599432062,-30263270.599432062,-30263270.599432062,-30263270.599432062,-30263270.599432062,0.0,0.0,0.0,296437151.7770603
35,2003-12-31,327142447.69466394,314791389.7726972,337376210.2529503,327142447.69466394,327142447.69466394,-1290060.6074562275,-1290060.6074562275,-1290060.6074562275,-1290060.6074562275,-1290060.6074562275,-1290060.6074562275,0.0,0.0,0.0,325852387.08720773
36,2004-01-31,327584473.01283556,330305225.0887331,353141289.3172124,327584473.01283556,327584473.01283556,14183177.399475284,14183177.399475284,14183177.399475284,14183177.399475284,14183177.399475284,14183177.399475284,0.0,0.0,0.0,341767650.41231084
37,2004-02-29,327997979.2118199,290162108.6806275,312166455.274627,327997979.2118199,327997979.2118199,-26823927.70033298,-26823927.70033298,-26823927.70033298,-26823927.70033298,-26823927.70033298,-26823927.70033298,0.0,0.0,0.0,301174051.5114869
38,2004-03-31,328440003.07969964,291961705.962032,314882296.036823,328440003.07969964,328440003.07969964,-24664499.32272656,-24664499.32272656,-24664499.32272656,-24664499.32272656,-24664499.32272656,-24664499.32272656,0.0,0.0,0.0,303775503.7569731
39,2004-04-30,328867768.1131317,273433294.18847954,295963315.17970705,328867768.1131317,328867768.1131317,-43830498.20318933,-43830498.20318933,-43830498.20318933,-43830498.20318933,-43830498.20318933,-43830498.20318933,0.0,0.0,0.0,285037269.9099424
40,2004-05-31,329309791.98101145,303589890.286777,325227579.80428076,329309791.98101145,329309791.98101145,-14575740.529794797,-14575740.529794797,-14575740.529794797,-14575740.529794797,-14575740.529794797,-14575740.529794797,0.0,0.0,0.0,314734051.45121664
41,2004-06-30,329737557.01444346,344182952.9255298,366216963.46502715,329737557.01444346,329737557.01444346,25696487.119891863,25696487.119891863,25696487.119891863,25696487.119891863,25696487.119891863,25696487.119891863,0.0,0.0,0.0,355434044.13433534
42,2004-07-31,330179580.8823232,382721329.0486867,405264514.24959993,330179580.8823232,330179580.8823232,63914756.97018935,63914756.97018935,63914756.97018935,63914756.97018935,63914756.97018935,63914756.97018935,0.0,0.0,0.0,394094337.85251254
43,2004-08-31,330621604.750203,374822378.6261499,397635856.6421296,330621604.750203,330621604.750203,56048801.96241727,56048801.96241727,56048801.96241727,56048801.96241727,56048801.96241727,56048801.96241727,0.0,0.0,0.0,386670406.71262026
44,2004-09-30,331049369.783635,320106382.605093,343309170.5519253,331049369.783635,331049369.783635,596739.682580825,596739.682580825,596739.682580825,596739.682580825,596739.682580825,596739.682580825,0.0,0.0,0.0,331646109.46621585
45,2004-10-31,331491393.6515148,296755293.13802516,319535870.941409,331491393.6515148,331491393.6515148,-23365921.39456839,-23365921.39456839,-23365921.39456839,-23365921.39456839,-23365921.39456839,-23365921.39456839,0.0,0.0,0.0,308125472.25694644
46,2004-11-30,331919113.3105881,287685616.9381901,310238327.5326962,331919113.3105881,331919113.3105881,-33130237.30435678,-33130237.30435678,-33130237.30435678,-33130237.30435678,-33130237.30435678,-33130237.30435678,0.0,0.0,0.0,298788876.00623137
47,2004-12-31,332361090.2916305,327902208.5929272,349438956.88676536,332361090.2916305,332361090.2916305,6188313.086879047,6188313.086879047,6188313.086879047,6188313.086879047,6188313.086879047,6188313.086879047,0.0,0.0,0.0,338549403.3785096
48,2005-01-31,332803067.27267295,335854180.0177321,359230632.7195867,332803067.27267295,332803067.27267295,14994642.73896516,14994642.73896516,14994642.73896516,14994642.73896516,14994642.73896516,14994642.73896516,0.0,0.0,0.0,347797710.0116381
49,2005-02-28,333202272.287808,295840462.6678177,317685836.09171844,333202272.287808,333202272.287808,-26771842.73768845,-26771842.73768845,-26771842.73768845,-26771842.73768845,-26771842.73768845,-26771842.73768845,0.0,0.0,0.0,306430429.5501196
50,2005-03-31,333644249.2688504,299515760.011464,323136327.4541543,333644249.2688504,333644249.2688504,-22433474.547407266,-22433474.547407266,-22433474.547407266,-22433474.547407266,-22433474.547407266,-22433474.547407266,0.0,0.0,0.0,311210774.7214431
51,2005-04-30,334071968.9279237,280036884.1906795,301548609.0164895,334071968.9279237,334071968.9279237,-43410891.50622764,-43410891.50622764,-43410891.50622764,-43410891.50622764,-43410891.50622764,-43410891.50622764,0.0,0.0,0.0,290661077.42169607
52,2005-05-31,334513945.90896606,308410345.17307746,331462941.21204823,334513945.90896606,334513945.90896606,-14820608.855385324,-14820608.855385324,-14820608.855385324,-14820608.855385324,-14820608.855385324,-14820608.855385324,0.0,0.0,0.0,319693337.05358076
53,2005-06-30,334941665.56803936,346302848.0792047,368912300.4821685,334941665.56803936,334941665.56803936,22860782.628634896,22860782.628634896,22860782.628634896,22860782.628634896,22860782.628634896,22860782.628634896,0.0,0.0,0.0,357802448.1966742
54,2005-07-31,335383642.54908174,388161611.1222784,409593594.08778864,335383642.54908174,335383642.54908174,62890825.45018869,62890825.45018869,62890825.45018869,62890825.45018869,62890825.45018869,62890825.45018869,0.0,0.0,0.0,398274467.99927044
55,2005-08-31,335746141.78413326,382747050.8398272,405129169.71165466,335746141.78413326,335746141.78413326,57917918.218122035,57917918.218122035,57917918.218122035,57917918.218122035,57917918.218122035,57917918.218122035,0.0,0.0,0.0,393664060.0022553
